Category: All categories

Week,Ford F-150: (United States)
2013-12-29,59
2014-01-05,55
2014-01-12,100
2014-01-19,66
2014-01-26,57
2014-02-02,56
2014-02-09,57
2014-02-16,61
2014-02-23,61
2014-03-02,58
2014-03-09,59
2014-03-16,61
2014-03-23,57
2014-03-30,58
2014-04-06,56
2014-04-13,58
2014-04-20,56
2014-04-27,53
2014-05-04,54
2014-05-11,56
2014-05-18,58
2014-05-25,58
2014-06-01,52
2014-06-08,54
2014-06-15,55
2014-06-22,57
2014-06-29,57
2014-07-06,58
2014-07-13,59
2014-07-20,57
2014-07-27,64
2014-08-03,61
2014-08-10,56
2014-08-17,61
2014-08-24,57
2014-08-31,60
2014-09-07,56
2014-09-14,54
2014-09-21,57
2014-09-28,60
2014-10-05,56
2014-10-12,58
2014-10-19,57
2014-10-26,54
2014-11-02,58
2014-11-09,64
2014-11-16,63
2014-11-23,58
2014-11-30,59
2014-12-07,56
2014-12-14,60
2014-12-21,61
2014-12-28,68
2015-01-04,64
2015-01-11,69
2015-01-18,71
2015-01-25,63
2015-02-01,60
2015-02-08,63
2015-02-15,67
2015-02-22,64
2015-03-01,67
2015-03-08,67
2015-03-15,66
2015-03-22,68
2015-03-29,65
2015-04-05,64
2015-04-12,63
2015-04-19,63
2015-04-26,63
2015-05-03,61
2015-05-10,65
2015-05-17,63
2015-05-24,63
2015-05-31,65
