Category: All categories

Week,Nissan Altima: (United States)
2013-12-29,80
2014-01-05,79
2014-01-12,80
2014-01-19,80
2014-01-26,81
2014-02-02,80
2014-02-09,86
2014-02-16,97
2014-02-23,94
2014-03-02,87
2014-03-09,96
2014-03-16,99
2014-03-23,92
2014-03-30,86
2014-04-06,89
2014-04-13,85
2014-04-20,89
2014-04-27,86
2014-05-04,82
2014-05-11,90
2014-05-18,91
2014-05-25,92
2014-06-01,89
2014-06-08,83
2014-06-15,87
2014-06-22,89
2014-06-29,87
2014-07-06,85
2014-07-13,93
2014-07-20,91
2014-07-27,93
2014-08-03,92
2014-08-10,87
2014-08-17,94
2014-08-24,92
2014-08-31,87
2014-09-07,85
2014-09-14,86
2014-09-21,83
2014-09-28,78
2014-10-05,79
2014-10-12,81
2014-10-19,86
2014-10-26,74
2014-11-02,85
2014-11-09,80
2014-11-16,80
2014-11-23,80
2014-11-30,69
2014-12-07,73
2014-12-14,75
2014-12-21,72
2014-12-28,83
2015-01-04,83
2015-01-11,85
2015-01-18,85
2015-01-25,82
2015-02-01,86
2015-02-08,87
2015-02-15,90
2015-02-22,86
2015-03-01,88
2015-03-08,100
2015-03-15,89
2015-03-22,92
2015-03-29,90
2015-04-05,82
2015-04-12,84
2015-04-19,84
2015-04-26,89
2015-05-03,86
2015-05-10,91
2015-05-17,95
2015-05-24,94
2015-05-31,90
