Category: All categories

Week,Toyota Camry: (United States)
2013-12-29,63
2014-01-05,59
2014-01-12,60
2014-01-19,58
2014-01-26,65
2014-02-02,58
2014-02-09,60
2014-02-16,64
2014-02-23,68
2014-03-02,63
2014-03-09,66
2014-03-16,67
2014-03-23,68
2014-03-30,65
2014-04-06,66
2014-04-13,100
2014-04-20,78
2014-04-27,67
2014-05-04,68
2014-05-11,68
2014-05-18,70
2014-05-25,73
2014-06-01,70
2014-06-08,68
2014-06-15,71
2014-06-22,68
2014-06-29,71
2014-07-06,71
2014-07-13,73
2014-07-20,78
2014-07-27,76
2014-08-03,74
2014-08-10,74
2014-08-17,78
2014-08-24,75
2014-08-31,70
2014-09-07,70
2014-09-14,68
2014-09-21,70
2014-09-28,69
2014-10-05,77
2014-10-12,75
2014-10-19,80
2014-10-26,72
2014-11-02,67
2014-11-09,71
2014-11-16,69
2014-11-23,66
2014-11-30,60
2014-12-07,61
2014-12-14,63
2014-12-21,64
2014-12-28,69
2015-01-04,63
2015-01-11,67
2015-01-18,60
2015-01-25,62
2015-02-01,67
2015-02-08,67
2015-02-15,67
2015-02-22,68
2015-03-01,68
2015-03-08,73
2015-03-15,70
2015-03-22,69
2015-03-29,69
2015-04-05,65
2015-04-12,68
2015-04-19,69
2015-04-26,68
2015-05-03,67
2015-05-10,72
2015-05-17,75
2015-05-24,73
2015-05-31,70
